time, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc
sizes(um), 25.,   50.,   75.,  100.,  125.,  150.,  175.,  200.,  225., 250.,  275.,  300.,  325.,  350.,  375.,  400.,  425.,  450.,  475.,  500.,  525.,  550.,  575.,  600.,  625.,  650.,  675., 700.,  725.,  750.,  775.,  800.
ordinal,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1,l-1
7.351136518773146672e+05,1.567181939323587285e+05,3.526159363478067826e+04,2.115935478291697655e+04,2.317201797340141275e+04,2.321309845068588766e+04,2.416356304994348102e+04,1.142934225532594610e+04,5.946945488434022991e+03,2.009316240565285852e+03,7.447790032328879306e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.351136519930557115e+05,4.906737086160424951e+04,4.088946209387769613e+03,2.160276333530985085e+03,5.496210327180909189e+03,3.545295138677437080e+03,1.112565381956816964e+03,8.132834871791783371e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.351136521087962901e+05,7.471388978697689890e+04,1.867847721288257890e+04,1.315763820133044828e+04,1.227448925027373480e+04,1.079670317317010085e+04,9.035098916989456484e+03,1.651160816817852719e+03,1.890099860093959478e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.351136522245371016e+05,5.076487726194842253e+04,8.883852663369601942e+03,4.470023772286012900e+03,5.458899808269360619e+03,3.851344228068955545e+03,1.381266155591664301e+03,5.048516410954645721e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.693996718719532737e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.351136523402779130e+05,3.339206278256467194e+05,5.342731622109549789e+04,3.645956006479167991e+04,3.680517474814473098e+04,1.737142998811955476e+04,9.691387871908609668e+03,6.641614954895991332e+02,2.280816818164224514e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.351136524560184916e+05,1.564685535608158913e+06,1.782553443873484212e+05,7.324801273466587008e+04,3.815918773842542578e+04,1.359512850110772524e+04,7.784216051881157000e+03,2.626269533413670160e+03,1.503157740992655363e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.351136525717593031e+05,4.310538329912231304e+06,4.361498183389092446e+05,1.224721076684166619e+05,5.963293836773323710e+04,3.313781549663984333e+04,2.338104494879135382e+04,8.347014615470507124e+03,1.364986888085613373e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.351136526875001146e+05,2.932194464391453564e+07,2.274030575800441206e+06,2.564960306914827961e+05,1.385196447733407258e+05,2.084861815406452661e+04,2.118555276447897631e+04,4.099397873543390233e+03,1.564206632638600695e+03,0.000000000000000000e+00,7.835874591432447232e+03,0.000000000000000000e+00,2.353176196723367411e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
