time,Theta-Q
ordinal,kelvin
7.351136539027778199e+05,3.206776999999999589e+02
7.351136539259259589e+05,3.205754000000000019e+02
7.351136539490740979e+05,3.206776999999999589e+02
7.351136539722222369e+05,3.206776999999999589e+02
7.351136539953703759e+05,3.206776999999999589e+02
7.351136540185185149e+05,3.207799999999999727e+02
7.351136540416666539e+05,3.209846000000000004e+02
7.351136540648147929e+05,3.211891999999999712e+02
7.351136540879629320e+05,3.212914999999999850e+02
7.351136541111111874e+05,3.213937999999999988e+02
7.351136541342593264e+05,3.217006999999999834e+02
7.351136541574074654e+05,3.218029999999999973e+02
7.351136541805556044e+05,3.213937999999999988e+02
7.351136542037037434e+05,3.214961000000000126e+02
7.351136542268518824e+05,3.215984000000000265e+02
7.351136542500000214e+05,3.217006999999999834e+02
7.351136542731481604e+05,3.221098999999999819e+02
7.351136542962962994e+05,3.218029999999999973e+02
7.351136543194444384e+05,3.217006999999999834e+02
7.351136543425925774e+05,3.218029999999999973e+02
7.351136543657407165e+05,3.219053000000000111e+02
7.351136543888888555e+05,3.220075999999999681e+02
7.351136544120371109e+05,3.222121999999999957e+02
7.351136544351852499e+05,3.221098999999999819e+02
7.351136544583333889e+05,3.222121999999999957e+02
7.351136544814815279e+05,3.221098999999999819e+02
7.351136545046296669e+05,3.220075999999999681e+02
7.351136545277778059e+05,3.222121999999999957e+02
7.351136545509259449e+05,3.221098999999999819e+02
7.351136545740740839e+05,3.224168000000000234e+02
7.351136545972222229e+05,3.221098999999999819e+02
7.351136546203703620e+05,3.223145000000000095e+02
7.351136546435185010e+05,3.231329000000000065e+02
7.351136546666666400e+05,3.232351999999999634e+02
7.351136546898147790e+05,3.231329000000000065e+02
7.351136547129630344e+05,3.230305999999999926e+02
7.351136547361111734e+05,3.231329000000000065e+02
7.351136547592593124e+05,3.235421000000000049e+02
7.351136547824074514e+05,3.235421000000000049e+02
7.351136548055555904e+05,3.230305999999999926e+02
7.351136548287037294e+05,3.229283000000000357e+02
7.351136548518518684e+05,3.231329000000000065e+02
7.351136548750000075e+05,3.227236999999999512e+02
7.351136548981481465e+05,3.315215000000000032e+02
7.351136549212962855e+05,3.232351999999999634e+02
7.351136549444444245e+05,3.230305999999999926e+02
7.351136549675925635e+05,3.230305999999999926e+02
7.351136549907408189e+05,3.229283000000000357e+02
7.351136550138889579e+05,3.227236999999999512e+02
7.351136550370370969e+05,3.227236999999999512e+02
7.351136550601852359e+05,3.226213999999999942e+02
7.351136550833333749e+05,3.226213999999999942e+02
7.351136551064815139e+05,3.228260000000000218e+02
7.351136551296296529e+05,3.226213999999999942e+02
7.351136551527777920e+05,3.224168000000000234e+02
7.351136551759259310e+05,3.223145000000000095e+02
7.351136551990740700e+05,3.231329000000000065e+02
7.351136552222222090e+05,3.229283000000000357e+02
7.351136552453703480e+05,3.225190999999999804e+02
7.351136552685184870e+05,3.225190999999999804e+02
7.351136552916667424e+05,3.225190999999999804e+02
7.351136553148148814e+05,3.234398000000000479e+02
7.351136553379630204e+05,3.234398000000000479e+02
7.351136553611111594e+05,3.232351999999999634e+02
7.351136553842592984e+05,3.233374999999999773e+02
7.351136554074074375e+05,3.233374999999999773e+02
7.351136554305555765e+05,3.234398000000000479e+02
7.351136554537037155e+05,3.235421000000000049e+02
7.351136554768518545e+05,3.233374999999999773e+02
7.351136554999999935e+05,3.232351999999999634e+02
7.351136555231481325e+05,3.233374999999999773e+02
7.351136555462962715e+05,3.235421000000000049e+02
7.351136555694444105e+05,3.239513000000000034e+02
7.351136555925926659e+05,3.240535999999999603e+02
7.351136556157408049e+05,3.242581999999999880e+02
7.351136556388889439e+05,3.240535999999999603e+02
7.351136556620370829e+05,3.254858000000000402e+02
7.351136556851852220e+05,3.255880999999999972e+02
7.351136557083333610e+05,3.260996000000000095e+02
7.351136557314815000e+05,3.262019000000000233e+02
7.351136557546296390e+05,3.260996000000000095e+02
7.351136557777777780e+05,3.258949999999999818e+02
7.351136558009259170e+05,3.258949999999999818e+02
7.351136558240740560e+05,3.262019000000000233e+02
7.351136558472221950e+05,3.266110999999999649e+02
7.351136558703703340e+05,3.266110999999999649e+02
7.351136558935185894e+05,3.265088000000000079e+02
7.351136559166667284e+05,3.268156999999999925e+02
7.351136559398148675e+05,3.270203000000000202e+02
7.351136559629630065e+05,3.269180000000000064e+02
7.351136559861111455e+05,3.268156999999999925e+02
7.351136560092592845e+05,3.265088000000000079e+02
7.351136560324074235e+05,3.264064999999999941e+02
7.351136560555555625e+05,3.265088000000000079e+02
7.351136560787037015e+05,3.267134000000000356e+02
7.351136561018518405e+05,3.273271999999999480e+02
7.351136561249999795e+05,3.274295000000000186e+02
7.351136561481481185e+05,3.270203000000000202e+02
7.351136561712963739e+05,3.268156999999999925e+02
7.351136561944445129e+05,3.268156999999999925e+02
7.351136562175926520e+05,3.266110999999999649e+02
7.351136562407407910e+05,3.267134000000000356e+02
7.351136562638889300e+05,3.266110999999999649e+02
7.351136562870370690e+05,3.264064999999999941e+02
7.351136563101852080e+05,3.263041999999999803e+02
7.351136563333333470e+05,3.265088000000000079e+02
7.351136563564814860e+05,3.265088000000000079e+02
7.351136563796296250e+05,3.266110999999999649e+02
7.351136564027777640e+05,3.266110999999999649e+02
7.351136564259259030e+05,3.266110999999999649e+02
7.351136564490740420e+05,3.265088000000000079e+02
7.351136564722222975e+05,3.266110999999999649e+02
7.351136564953704365e+05,3.267134000000000356e+02
7.351136565185185755e+05,3.268156999999999925e+02
7.351136565416667145e+05,3.268156999999999925e+02
7.351136565648148535e+05,3.269180000000000064e+02
7.351136565879629925e+05,3.269180000000000064e+02
7.351136566111111315e+05,3.269180000000000064e+02
7.351136566342592705e+05,3.269180000000000064e+02
7.351136566574074095e+05,3.276340999999999894e+02
7.351136566805555485e+05,3.275318000000000325e+02
7.351136567037036875e+05,3.273271999999999480e+02
7.351136567268518265e+05,3.272248999999999910e+02
7.351136567499999655e+05,3.274295000000000186e+02
7.351136567731482210e+05,3.275318000000000325e+02
7.351136567962963600e+05,3.294755000000000109e+02
7.351136568194444990e+05,3.294755000000000109e+02
7.351136568425926380e+05,3.292708999999999833e+02
7.351136568657407770e+05,3.291685999999999694e+02
7.351136568888889160e+05,3.289639999999999986e+02
7.351136569120370550e+05,3.289639999999999986e+02
7.351136569351851940e+05,3.290663000000000125e+02
7.351136569583333330e+05,3.289639999999999986e+02
7.351136569814814720e+05,3.288616999999999848e+02
7.351136570046296110e+05,3.288616999999999848e+02
7.351136570277777500e+05,3.288616999999999848e+02
7.351136570509260055e+05,3.289639999999999986e+02
7.351136570740741445e+05,3.288616999999999848e+02
7.351136570972222835e+05,3.291685999999999694e+02
7.351136571203704225e+05,3.288616999999999848e+02
7.351136571435185615e+05,3.285548000000000002e+02
7.351136571666667005e+05,3.283501999999999725e+02
7.351136571898148395e+05,3.280433000000000447e+02
7.351136572129629785e+05,3.278386999999999603e+02
7.351136572361111175e+05,3.277364000000000033e+02
7.351136572592592565e+05,3.277364000000000033e+02
7.351136572824073955e+05,3.277364000000000033e+02
7.351136573055555345e+05,3.278386999999999603e+02
7.351136573287036736e+05,3.278386999999999603e+02
7.351136573518519290e+05,3.279409999999999741e+02
7.351136573750000680e+05,3.278386999999999603e+02
7.351136573981482070e+05,3.278386999999999603e+02
7.351136574212963460e+05,3.277364000000000033e+02
7.351136574444444850e+05,3.277364000000000033e+02
7.351136574675926240e+05,3.276340999999999894e+02
7.351136574907407630e+05,3.274295000000000186e+02
7.351136575138889020e+05,3.274295000000000186e+02
7.351136575370370410e+05,3.273271999999999480e+02
7.351136575601851800e+05,3.273271999999999480e+02
7.351136575833333191e+05,3.274295000000000186e+02
7.351136576064814581e+05,3.274295000000000186e+02
7.351136576296295971e+05,3.274295000000000186e+02
7.351136576527778525e+05,3.274295000000000186e+02
7.351136576759259915e+05,3.274295000000000186e+02
7.351136576990741305e+05,3.275318000000000325e+02
7.351136577222222695e+05,3.276340999999999894e+02
7.351136577453704085e+05,3.276340999999999894e+02
7.351136577685185475e+05,3.276340999999999894e+02
7.351136577916666865e+05,3.278386999999999603e+02
7.351136578148148255e+05,3.282479000000000156e+02
7.351136578379629645e+05,3.282479000000000156e+02
7.351136578611111036e+05,3.284524999999999864e+02
7.351136578842592426e+05,3.283501999999999725e+02
7.351136579074073816e+05,3.283501999999999725e+02
7.351136579305555206e+05,3.285548000000000002e+02
7.351136579537037760e+05,3.286570999999999572e+02
7.351136579768519150e+05,3.288616999999999848e+02
7.351136580000000540e+05,3.287594000000000278e+02
7.351136580231481930e+05,3.288616999999999848e+02
7.351136580462963320e+05,3.286570999999999572e+02
7.351136580694444710e+05,3.287594000000000278e+02
7.351136580925926100e+05,3.292708999999999833e+02
7.351136581157407491e+05,3.295778000000000247e+02
7.351136581388888881e+05,3.293731999999999971e+02
7.351136581620370271e+05,3.294755000000000109e+02
7.351136581851851661e+05,3.290663000000000125e+02
7.351136582083333051e+05,3.291685999999999694e+02
7.351136582314815605e+05,3.294755000000000109e+02
7.351136582546296995e+05,3.294755000000000109e+02
7.351136582777778385e+05,3.298846999999999525e+02
7.351136583009259775e+05,3.296800999999999817e+02
7.351136583240741165e+05,3.295778000000000247e+02
7.351136583472222555e+05,3.296800999999999817e+02
7.351136583703703946e+05,3.296800999999999817e+02
7.351136583935185336e+05,3.295778000000000247e+02
7.351136584166666726e+05,3.294755000000000109e+02
7.351136584398148116e+05,3.293731999999999971e+02
7.351136584629629506e+05,3.293731999999999971e+02
7.351136584861110896e+05,3.294755000000000109e+02
7.351136585092592286e+05,3.292708999999999833e+02
7.351136585324074840e+05,3.292708999999999833e+02
7.351136585555556230e+05,3.291685999999999694e+02
7.351136585787037620e+05,3.290663000000000125e+02
7.351136586018519010e+05,3.291685999999999694e+02
7.351136586250000400e+05,3.291685999999999694e+02
7.351136586481481791e+05,3.289639999999999986e+02
7.351136586712963181e+05,3.290663000000000125e+02
7.351136586944444571e+05,3.291685999999999694e+02
7.351136587175925961e+05,3.290663000000000125e+02
7.351136587407407351e+05,3.290663000000000125e+02
7.351136587638888741e+05,3.289639999999999986e+02
7.351136587870370131e+05,3.365341999999999985e+02
7.351136588101851521e+05,3.286570999999999572e+02
7.351136588333334075e+05,3.287594000000000278e+02
7.351136588564815465e+05,3.286570999999999572e+02
7.351136588796296855e+05,3.285548000000000002e+02
7.351136589027778246e+05,3.284524999999999864e+02
7.351136589259259636e+05,3.283501999999999725e+02
7.351136589490741026e+05,3.283501999999999725e+02
7.351136589722222416e+05,3.280433000000000447e+02
7.351136589953703806e+05,3.280433000000000447e+02
