time,altitude,latitude,longitude,temperature,RH,Pressure,LWC,TAS,udvel
datenum,m,deg,deg,celsius,%,mb,g/m3,m/s,m/s
7.351136523171296576e+05,2.700000000000000000e+02,4.593319999999999936e+01,-3.047809999999998354e+00,2.539110000000000156e+01,8.206000000000000227e+01,1.064140000000000100e+03,0.000000000000000000e+00,8.808451131999999006e+01,0.000000000000000000e+00
7.351136523287036689e+05,2.730000000000000000e+02,4.593388000000000204e+01,-3.048499999999989996e+00,2.539110000000000156e+01,8.167000000000000171e+01,1.063810000000000173e+03,0.000000000000000000e+00,8.827537699999999177e+01,0.000000000000000000e+00
7.351136523402777966e+05,2.740000000000000000e+02,4.593439999999999657e+01,-3.048839999999984229e+00,2.539110000000000156e+01,8.257999999999998408e+01,1.063700000000000045e+03,0.000000000000000000e+00,8.846624267999999347e+01,0.000000000000000000e+00
7.351136523518519243e+05,2.760000000000000000e+02,4.593491000000000213e+01,-3.049190000000010059e+00,2.539110000000000156e+01,8.245000000000000284e+01,1.063260000000000218e+03,0.000000000000000000e+00,8.875254119999999602e+01,0.000000000000000000e+00
7.351136523634259356e+05,2.780000000000000000e+02,4.593576999999999799e+01,-3.049869999999998527e+00,2.539110000000000156e+01,8.335999999999999943e+01,1.063039999999999964e+03,0.000000000000000000e+00,8.884797403999999688e+01,0.000000000000000000e+00
7.351136523750000633e+05,2.800000000000000000e+02,4.593612000000000251e+01,-3.050219999999995935e+00,2.539110000000000156e+01,8.296999999999999886e+01,1.062820000000000164e+03,0.000000000000000000e+00,8.884797403999999688e+01,0.000000000000000000e+00
7.351136523865740746e+05,2.820000000000000000e+02,4.593679999999999808e+01,-3.050900000000012824e+00,2.539110000000000156e+01,8.322999999999998977e+01,1.062490000000000009e+03,0.000000000000000000e+00,8.894340687999999773e+01,0.000000000000000000e+00
7.351136523981482023e+05,2.850000000000000000e+02,4.593748999999999683e+01,-3.051420000000007349e+00,2.539110000000000156e+01,8.245000000000000284e+01,1.062160000000000082e+03,2.820000000000000024e-03,8.856167551999999432e+01,0.000000000000000000e+00
7.351136524097222136e+05,2.880000000000000000e+02,4.593800000000000239e+01,-3.051929999999998699e+00,2.539110000000000156e+01,8.309999999999999432e+01,1.061940000000000055e+03,4.700000000000000185e-03,8.894340687999999773e+01,0.000000000000000000e+00
7.351136524212963413e+05,2.900000000000000000e+02,4.593851999999999691e+01,-3.052449999999993224e+00,2.526414449999999690e+01,8.427000000000001023e+01,1.061500000000000000e+03,1.033999999999999850e-02,8.894340687999999773e+01,0.000000000000000000e+00
7.351136524328703526e+05,2.930000000000000000e+02,4.593903000000000247e+01,-3.052959999999984575e+00,2.526414449999999690e+01,8.452999999999998693e+01,1.061170000000000073e+03,1.033999999999999850e-02,8.894340687999999773e+01,0.000000000000000000e+00
7.351136524444444804e+05,2.950000000000000000e+02,4.593954999999999700e+01,-3.053479999999979100e+00,2.526414449999999690e+01,8.414000000000000057e+01,1.060950000000000045e+03,1.879999999999999944e-03,8.894340687999999773e+01,0.000000000000000000e+00
7.351136524560184916e+05,3.000000000000000000e+02,4.594006000000000256e+01,-3.054169999999999163e+00,2.513718900000000289e+01,8.504999999999999716e+01,1.060289999999999964e+03,9.399999999999999719e-04,8.942057108000000198e+01,0.000000000000000000e+00
7.351136524675926194e+05,3.020000000000000000e+02,4.594075000000000131e+01,-3.054680000000018936e+00,2.513718900000000289e+01,8.478999999999999204e+01,1.060070000000000164e+03,9.400000000000000369e-03,8.932513823999998692e+01,0.000000000000000000e+00
